每日AI资讯抓取统计
生成时间：2026-04-13 10:11
候选资讯总数：211
正文资讯总数：15

分站点统计：
站点 | 启用 | 权重 | 计划抓取 | 抓取数 | 筛后数 | 去重后数 | 最终入选数 | 状态 | 备注
----------------------------------------------------------------------------------------------------
量子位 | 是 | 1.35 | 50 | 30 | 5 | 5 | 1 | ok | 
新智元 | 是 | 1.30 | 50 | 14 | 10 | 10 | 7 | ok | 
稀土掘金 AI | 是 | 1.24 | 50 | 0 | 0 | 0 | 0 | empty | 
AIbase | 是 | 1.20 | 50 | 20 | 0 | 0 | 0 | ok | 
36Kr AI | 是 | 1.16 | 50 | 30 | 20 | 16 | 3 | ok | 
AIHotToday | 是 | 1.10 | 50 | 50 | 29 | 13 | 1 | ok | 
AI方案库 | 是 | 1.06 | 50 | 0 | 0 | 0 | 0 | empty | 
Pandaily AI | 是 | 1.04 | 50 | 6 | 2 | 2 | 0 | ok | 
MarkTechPost | 是 | 1.25 | 50 | 10 | 5 | 5 | 2 | ok | 
TechCrunch AI | 是 | 1.20 | 50 | 20 | 4 | 4 | 1 | ok | 
NVIDIA Developer Blog | 是 | 1.15 | 50 | 16 | 0 | 0 | 0 | ok | 
Anthropic Blog | 是 | 1.10 | 50 | 15 | 0 | 0 | 0 | ok | 
Tech Funding News AI Funding | 是 | 1.18 | 50 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='techfundingnews.com', port=443): Max retries exceeded with url: /tag/artificial-intelligence/ (Caused by ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
Papers with Code | 是 | 1.18 | 50 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='paperswithcode.com', port=443): Max retries exceeded with url: /latest (Caused by ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
arXiv cs.AI | 是 | 1.18 | 50 | 0 | 0 | 0 | 0 | empty | 
