每日AI资讯抓取统计
生成时间：2026-04-07 09:41
候选资讯总数：303
正文资讯总数：15

分站点统计：
站点 | 启用 | 权重 | 计划抓取 | 抓取数 | 筛后数 | 去重后数 | 最终入选数 | 状态 | 备注
----------------------------------------------------------------------------------------------------
量子位 | 是 | 1.35 | 50 | 28 | 6 | 6 | 3 | ok | 
新智元 | 是 | 1.30 | 50 | 14 | 0 | 0 | 0 | ok | 
稀土掘金 AI | 是 | 1.24 | 50 | 0 | 0 | 0 | 0 | empty | 
AIbase | 是 | 1.20 | 50 | 20 | 0 | 0 | 0 | ok | 
36Kr AI | 是 | 1.16 | 50 | 29 | 12 | 11 | 2 | ok | 
AIHotToday | 是 | 1.10 | 50 | 50 | 37 | 20 | 1 | ok | 
AI方案库 | 是 | 1.06 | 50 | 0 | 0 | 0 | 0 | empty | 
Pandaily AI | 是 | 1.04 | 50 | 1 | 0 | 0 | 0 | ok | 
MarkTechPost | 是 | 1.25 | 50 | 10 | 2 | 2 | 2 | ok | 
TechCrunch AI | 是 | 1.20 | 50 | 18 | 8 | 8 | 2 | ok | 
NVIDIA Developer Blog | 是 | 1.15 | 50 | 16 | 0 | 0 | 0 | ok | 
Anthropic Blog | 是 | 1.10 | 50 | 16 | 0 | 0 | 0 | ok | 
Papers with Code | 是 | 1.08 | 50 | 50 | 0 | 0 | 0 | ok | 
Tech Funding News AI Funding | 是 | 1.14 | 50 | 1 | 0 | 0 | 0 | ok | 
arXiv cs.AI | 是 | 1.18 | 50 | 50 | 50 | 50 | 5 | ok | 
