每日AI资讯抓取统计
生成时间：2026-04-28 11:49
候选资讯总数：319
正文资讯总数：18

分站点统计：
站点 | 启用 | 权重 | 计划抓取 | 抓取数 | 筛后数 | 去重后数 | 最终入选数 | 状态 | 备注
----------------------------------------------------------------------------------------------------
量子位 | 是 | 1.35 | 50 | 30 | 24 | 24 | 4 | ok | 
新智元 | 是 | 1.30 | 50 | 14 | 0 | 0 | 0 | ok | 
稀土掘金 AI | 是 | 1.24 | 50 | 20 | 19 | 19 | 2 | ok | 
AIbase | 是 | 1.20 | 50 | 20 | 1 | 1 | 0 | ok | 
36Kr AI | 是 | 1.16 | 50 | 30 | 17 | 17 | 3 | ok | 
AIHotToday | 是 | 1.10 | 50 | 50 | 26 | 10 | 3 | ok | 
AI方案库 | 是 | 1.06 | 50 | 0 | 0 | 0 | 0 | empty | 
Pandaily AI | 是 | 1.04 | 50 | 4 | 2 | 2 | 0 | ok | 
MarkTechPost | 是 | 1.25 | 50 | 0 | 0 | 0 | 0 | empty | 
TechCrunch AI | 是 | 1.20 | 50 | 20 | 6 | 6 | 0 | ok | 
NVIDIA Developer Blog | 是 | 1.15 | 50 | 16 | 0 | 0 | 0 | ok | 
Anthropic Blog | 是 | 1.10 | 50 | 13 | 0 | 0 | 0 | ok | 
Tech Funding News AI Funding | 是 | 1.18 | 50 | 2 | 1 | 1 | 1 | ok | 
Papers with Code | 是 | 1.18 | 50 | 50 | 0 | 0 | 0 | ok | 
arXiv cs.AI | 是 | 1.18 | 50 | 50 | 50 | 50 | 5 | ok | 
