每日AI资讯抓取统计
生成时间：2026-04-09 14:39
候选资讯总数：279
正文资讯总数：22

分站点统计：
站点 | 启用 | 权重 | 计划抓取 | 抓取数 | 筛后数 | 去重后数 | 最终入选数 | 状态 | 备注
----------------------------------------------------------------------------------------------------
量子位 | 是 | 1.35 | 50 | 30 | 15 | 15 | 4 | ok | 
新智元 | 是 | 1.30 | 50 | 14 | 6 | 5 | 2 | ok | 
稀土掘金 AI | 是 | 1.24 | 50 | 20 | 19 | 19 | 1 | ok | 
AIbase | 是 | 1.20 | 50 | 20 | 1 | 1 | 0 | ok | 
36Kr AI | 是 | 1.16 | 50 | 30 | 23 | 23 | 3 | ok | 
AIHotToday | 是 | 1.10 | 50 | 0 | 0 | 0 | 0 | error | HTTPSConnectionPool(host='aihot.today', port=443): Max retries exceeded with url: / (Caused by ProtocolError('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None)))
AI方案库 | 是 | 1.06 | 50 | 0 | 0 | 0 | 0 | empty | 
Pandaily AI | 是 | 1.04 | 50 | 2 | 1 | 1 | 1 | ok | 
MarkTechPost | 是 | 1.25 | 50 | 10 | 4 | 4 | 1 | ok | 
TechCrunch AI | 是 | 1.20 | 50 | 18 | 8 | 8 | 2 | ok | 
NVIDIA Developer Blog | 是 | 1.15 | 50 | 16 | 0 | 0 | 0 | ok | 
Anthropic Blog | 是 | 1.10 | 50 | 15 | 0 | 0 | 0 | ok | 
Tech Funding News AI Funding | 是 | 1.18 | 50 | 4 | 3 | 3 | 3 | ok | 
Papers with Code | 是 | 1.18 | 50 | 50 | 0 | 0 | 0 | ok | 
arXiv cs.AI | 是 | 1.18 | 50 | 50 | 50 | 50 | 5 | ok | 
