每日AI资讯抓取统计
生成时间：2026-04-15 08:46
候选资讯总数：324
正文资讯总数：19

分站点统计：
站点 | 启用 | 权重 | 计划抓取 | 抓取数 | 筛后数 | 去重后数 | 最终入选数 | 状态 | 备注
----------------------------------------------------------------------------------------------------
量子位 | 是 | 1.35 | 50 | 27 | 5 | 5 | 0 | ok | 
新智元 | 是 | 1.30 | 50 | 14 | 5 | 5 | 3 | ok | 
稀土掘金 AI | 是 | 1.24 | 50 | 20 | 15 | 15 | 1 | ok | 
AIbase | 是 | 1.20 | 50 | 20 | 1 | 1 | 0 | ok | 
36Kr AI | 是 | 1.16 | 50 | 30 | 22 | 21 | 5 | ok | 
AIHotToday | 是 | 1.10 | 50 | 50 | 28 | 8 | 0 | ok | 
AI方案库 | 是 | 1.06 | 50 | 0 | 0 | 0 | 0 | empty | 
Pandaily AI | 是 | 1.04 | 50 | 7 | 5 | 5 | 1 | ok | 
MarkTechPost | 是 | 1.25 | 50 | 0 | 0 | 0 | 0 | empty | 
TechCrunch AI | 是 | 1.20 | 50 | 20 | 6 | 6 | 0 | ok | 
NVIDIA Developer Blog | 是 | 1.15 | 50 | 16 | 1 | 1 | 0 | ok | 
Anthropic Blog | 是 | 1.10 | 50 | 15 | 0 | 0 | 0 | ok | 
Tech Funding News AI Funding | 是 | 1.18 | 50 | 5 | 4 | 4 | 4 | ok | 
Papers with Code | 是 | 1.18 | 50 | 50 | 0 | 0 | 0 | ok | 
arXiv cs.AI | 是 | 1.18 | 50 | 50 | 50 | 50 | 5 | ok | 
