每日AI资讯抓取统计
生成时间：2026-03-31 11:20
候选资讯总数：250
正文资讯总数：16

分站点统计：
站点 | 启用 | 权重 | 计划抓取 | 抓取数 | 筛后数 | 去重后数 | 最终入选数 | 状态 | 备注
----------------------------------------------------------------------------------------------------
量子位 | 是 | 1.35 | 30 | 30 | 11 | 11 | 5 | ok | 
新智元 | 是 | 1.30 | 30 | 14 | 4 | 4 | 1 | ok | 
稀土掘金 AI | 是 | 1.24 | 30 | 0 | 0 | 0 | 0 | empty | 
AIbase | 是 | 1.20 | 30 | 20 | 1 | 1 | 0 | ok | 
36Kr AI | 是 | 1.16 | 30 | 30 | 21 | 21 | 2 | ok | 
AIHotToday | 是 | 1.10 | 30 | 30 | 17 | 4 | 0 | ok | 
AI方案库 | 是 | 1.06 | 30 | 0 | 0 | 0 | 0 | empty | 
Pandaily AI | 是 | 1.04 | 30 | 2 | 1 | 1 | 0 | ok | 
MarkTechPost | 是 | 1.25 | 30 | 10 | 2 | 2 | 1 | ok | 
TechCrunch AI | 是 | 1.20 | 30 | 20 | 9 | 9 | 1 | ok | 
NVIDIA Developer Blog | 是 | 1.15 | 30 | 16 | 0 | 0 | 0 | ok | 
Anthropic Blog | 是 | 1.10 | 30 | 16 | 0 | 0 | 0 | ok | 
Papers with Code | 是 | 1.08 | 30 | 30 | 0 | 0 | 0 | ok | 
Tech Funding News AI Funding | 是 | 1.14 | 30 | 2 | 1 | 1 | 1 | ok | 
arXiv cs.AI | 是 | 1.18 | 30 | 30 | 30 | 30 | 5 | ok | 
